id;title;objectif;docs;docs_content_type;tooth_id
1;repérer à seule fin de;près au point que;../fake-data/blob/hipster.png;image/png;1
2;raide;hi de façon que concernant;../fake-data/blob/hipster.png;image/png;2
3;près célébrer;ficher;../fake-data/blob/hipster.png;image/png;3
4;creuser;vu que sitôt;../fake-data/blob/hipster.png;image/png;4
5;composer;admirablement sans doute aussi;../fake-data/blob/hipster.png;image/png;5
6;tandis que;triathlète au-devant pendant que;../fake-data/blob/hipster.png;image/png;6
7;interpréter envelopper;jusqu’à ce que lâche propre;../fake-data/blob/hipster.png;image/png;7
8;séculaire;paf cocorico;../fake-data/blob/hipster.png;image/png;8
9;recevoir;triathlète diplomate corps enseignant;../fake-data/blob/hipster.png;image/png;9
10;pas mal faciliter miam;corner;../fake-data/blob/hipster.png;image/png;10
