id;time;image_front;image_front_content_type;image_side;image_side_content_type;date;mesure_angle_1;mesure_angle_2;intersection;student_id;pw_id
1;ha;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22;communauté étudiante insuffisamment;sans que hé de la part de;chez aussitôt que boum;1;1
2;d'avec avant-hier jeune enfant;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22;spécialiste délégation;lentement;smack;2;2
3;beaucoup à la merci;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22;lutter au point que;miaou;balayer conseil municipal;2;3
4;clac aujourd'hui sauf;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-23;rapporter à côté de areu areu;super;à condition que puis;2;4
5;toc-toc pendant que atchoum;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-23;clientèle;taper hi boire;novice;2;5
6;paf malgré initier;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-23;meuh;après que;quoique marron dynamique;2;6
7;toc-toc charger;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-23;au cas où toc;à la merci;vétuste camper;2;7
8;depuis;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22;nourrir contre avant;vétuste repasser;hebdomadaire d’autant que jeune enfant;1;8
9;tchou tchouu passager aussitôt que;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-23;ronfler touriste;quand ?;vlan biathlète tandis que;1;9
10;proche athlète lentement;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-23;de;si;délégation;1;10
